id,name,category,price,image,description,sizes,rating,reviews,badge,stock
1,ZELVRA Premium Ribbed Polo — Forest Green,polos,4499,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=600&h=750&fit=crop,ZELVRA Premium Ribbed Polo collection — 220–240 GSM piqué cotton embroidered logo metal neck label.,S M L XL,4.8,6,NEW,45
2,ZELVRA Premium Ribbed Polo — Chocolate,polos,4499,https://images.unsplash.com/photo-1618354691373-d851c5c3a990?w=600&h=750&fit=crop,ZELVRA Premium Ribbed Polo collection — 220–240 GSM piqué cotton embroidered logo metal neck label.,S M L XL,4.8,4,NEW,38
3,ZELVRA Premium Ribbed Polo — Stone Beige,polos,4499,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=600&h=750&fit=crop,ZELVRA Premium Ribbed Polo collection — 220–240 GSM piqué cotton embroidered logo metal neck label.,S M L XL,4.4,7,NEW,42
4,ZELVRA Premium Ribbed Polo — Charcoal,polos,4499,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=600&h=750&fit=crop,ZELVRA Premium Ribbed Polo collection — 220–240 GSM piqué cotton embroidered logo metal neck label.,S M L XL,4.4,5,NEW,30
5,ZELVRA Premium Ribbed Polo — Olive,polos,4499,https://images.unsplash.com/photo-1622445275576-72132540e3c3?w=600&h=750&fit=crop,ZELVRA Premium Ribbed Polo collection — 220–240 GSM piqué cotton embroidered logo metal neck label.,S M L XL,4.8,4,NEW,35
6,ZELVRA Premium Ribbed Polo — Ivory,polos,4499,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=600&h=750&fit=crop,ZELVRA Premium Ribbed Polo collection — 220–240 GSM piqué cotton embroidered logo metal neck label.,S M L XL,4.5,6,NEW,28
7,ZELVRA Premium Ribbed Polo — Navy,polos,4499,https://images.unsplash.com/photo-1617137968427-85924c800a22?w=600&h=750&fit=crop,ZELVRA Premium Ribbed Polo collection — 220–240 GSM piqué cotton embroidered logo metal neck label.,S M L XL,4.2,5,NEW,40
8,ZELVRA Premium Ribbed Polo — Midnight Black,polos,4499,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?w=600&h=750&fit=crop,ZELVRA Premium Ribbed Polo collection — 220–240 GSM piqué cotton embroidered logo metal neck label.,S M L XL,4.5,4,NEW,50
9,ZELVRA Premium Essential Tee — Forest Green,tshirts,2999,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=600&h=750&fit=crop,ZELVRA Premium Essential T-Shirts — 240 GSM combed cotton silicone washed embroidered logo.,S M L XL,4.4,7,NEW,60
10,ZELVRA Premium Essential Tee — Chocolate Brown,tshirts,2999,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=600&h=750&fit=crop,ZELVRA Premium Essential T-Shirts — 240 GSM combed cotton silicone washed embroidered logo.,S M L XL,4.4,5,NEW,55
11,ZELVRA Premium Essential Tee — Olive Green,tshirts,2999,https://images.unsplash.com/photo-1622445275576-72132540e3c3?w=600&h=750&fit=crop,ZELVRA Premium Essential T-Shirts — 240 GSM combed cotton silicone washed embroidered logo.,S M L XL,4.3,4,NEW,48
12,ZELVRA Premium Essential Tee — Stone Beige,tshirts,2999,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=600&h=750&fit=crop,ZELVRA Premium Essential T-Shirts — 240 GSM combed cotton silicone washed embroidered logo.,S M L XL,4.4,5,NEW,52
13,ZELVRA Premium Essential Tee — Charcoal Grey,tshirts,2999,https://images.unsplash.com/photo-1618354691373-d851c5c3a990?w=600&h=750&fit=crop,ZELVRA Premium Essential T-Shirts — 240 GSM combed cotton silicone washed embroidered logo.,S M L XL,4.3,6,NEW,40
14,ZELVRA Premium Essential Tee — Dark Navy,tshirts,2999,https://images.unsplash.com/photo-1617137968427-85924c800a22?w=600&h=750&fit=crop,ZELVRA Premium Essential T-Shirts — 240 GSM combed cotton silicone washed embroidered logo.,S M L XL,4.3,6,NEW,45
15,ZELVRA Premium Essential Tee — Pure White,tshirts,2950,https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?w=600&h=750&fit=crop,ZELVRA Premium Essential T-Shirts — 240 GSM combed cotton silicone washed embroidered logo.,S M L XL,4.5,6,NEW,70
16,ZELVRA Premium Essential Tee — Jet Black,tshirts,2999,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=600&h=750&fit=crop,ZELVRA Premium Essential T-Shirts — 240 GSM combed cotton silicone washed embroidered logo.,S M L XL,4.4,7,NEW,65
17,ZELVRA Oxford Button Down — Sky Blue,bottoms,4999,https://images.unsplash.com/photo-1598033129183-c4f50c736f10?w=600&h=750&fit=crop,ZELVRA Casual Shirts Drop 01 — Oxford Button Downs. Premium cotton classic fit.,S M L XL,4.4,7,NEW PREMIUM,25
18,ZELVRA Linen Blend Shirt — Light Blue,bottoms,5499,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=600&h=750&fit=crop,ZELVRA Linen Blend Shirt — breathable perfect for warmer weather.,S M L XL,4.8,4,NEW,20
19,ZELVRA Linen Blend Shirt — White,bottoms,5499,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=600&h=750&fit=crop,ZELVRA Linen Blend Shirt — breathable perfect for warmer weather.,S M L XL,4.4,5,NEW,22
20,ZELVRA Oxford Button Down — Navy,bottoms,4999,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=600&h=750&fit=crop,ZELVRA Casual Shirts Drop 01 — Oxford Button Downs. Premium cotton classic fit.,S M L XL,4.3,6,NEW,28
